"method","em","matches"
"normrank",1.89983701705933,0
"norm",1.75766754150391,0
"sample",7.17029142379761,0
"norm",1.96355175971985,0
"cart",1.26053297519684,10
"norm",1.72866606712341,0
"ranger",1.36757171154022,11
"ranger",1.47173416614532,15
"norm",1.71946096420288,0
"rf",1.38016164302826,1
"ranger",1.49299573898315,13
"ctree",1.77527189254761,0
"sample",7.41724538803101,0
"ranger",1.31383574008942,7
"ctree",1.46708118915558,0
"normrank",1.90013384819031,1
"rf",1.41920816898346,0
"ctree",1.57231307029724,0
"normrank",1.81159210205078,0
"cart",1.48490881919861,17
"ctree",1.7126247882843,2
"sample",7.35422372817993,0
"normrank",1.97352719306946,1
"ranger",1.61585378646851,15
"norm",1.69902038574219,0
"norm",1.99142289161682,0
"cart",1.93732225894928,11
"rf",1.72012400627136,1
"ctree",1.49183595180511,1
"norm",1.75143504142761,0
"cart",1.89332008361816,11
"cart",1.4885801076889,8
"norm",1.84092688560486,0
"rf",1.49384748935699,2
"ranger",1.56942713260651,14
"ranger",1.73867630958557,10
"sample",6.94349765777588,0
"normrank",1.73820197582245,0
"normrank",2.0298113822937,0
"normrank",2.00580835342407,0
"cart",1.79684376716614,19
"normrank",1.68180799484253,0
"rf",1.55289590358734,1
"cart",1.51063573360443,10
"cart",1.56901049613953,7
"norm",1.81993460655212,0
"sample",6.83917379379272,0
"ctree",1.61888217926025,0
"rf",1.61833989620209,1
"rf",1.47795259952545,0
"rf",1.61020994186401,3
"ctree",1.48336291313171,1
"cart",1.30774986743927,11
"ranger",1.2412793636322,14
"normrank",1.75752425193787,1
"sample",7.26200342178345,0
"ctree",1.79659616947174,4
"sample",7.22069644927979,0
"ctree",2.0686194896698,0
"sample",7.3234281539917,0
"sample",7.20916271209717,0
"rf",1.56563341617584,3
"ctree",1.81276798248291,0
"sample",6.87907361984253,0
"rf",1.39204049110413,1
"normrank",1.5278605222702,0
"norm",1.85051250457764,0
"cart",1.54003608226776,12
"ranger",1.91904604434967,18
"ranger",1.47367358207703,17
